name_user;rol;mail;pwd;
DANIEL SANTIAGO RODRIGUEZ PINEDA;Customer;mi.rey@gmail.com;D816%;
SANTIAGO ROLDAN SILVA;Customer;fe.ramos@gmail.com;\025-;
RUBEN SANTIAGO URREGO AVENDA—O;Customer;ca.quintero@gmail.com;n057%;
DAVID ANTONIO VIGOYA L”PEZ;Customer;wi.parrado@gmail.com;Ç500&;
JHONNATHAN STIVEN VILLARRAGA ARIZA;Customer;cr.abello@gmail.com;`860&;
CAMILO ANDR…S GIR”N AM”RTEGUI;Customer;jh.barreto@gmail.com;"Y723""";
ERIC DANILO MONCAYO GARZON;Customer;hu.mondragon@gmail.com;V412,;
BRAYAN DAVID MOSQUERA AGUDELO;Customer;br.barragan@gmail.com;q360,;
SAMUEL VARGAS GUERRA;Customer;da.bernal@gmail.com;a052);
MAYCKOLL STHEVEN VARGAS RODRIGUEZ;Customer;ni.cardenas@gmail.com;M280,;
HAIDER JOHAN ARANGO DÕAZ;Customer;ju.moreno@gmail.com;{317*;
JUAN ESTEBAN OSORIO G”MEZ;Customer;ma.ramos@gmail.com;l513);
ANDRES CAMILO VANEGAS PACHON;Customer;ke.castrillon@gmail.com;"k301""";
JOSE DANIEL BARRETO AGUILERA;Customer;da.buitrago@gmail.com;"N550""";
EDWARD ANDRES CASTRO PARRADO;Customer;br.castaneda@gmail.com;w160*;
BRAYAN STEVEN FERNANDEZ HERRERA;Customer;ja.charry@gmail.com;â458!;
VIVIAN ANDREA PRADO ZULETA;Customer;ye.colmenares@gmail.com;Ö813!;
LEIDY DANIELA VEGA SANDOVAL;Customer;na.godoy@gmail.com;d783-;
LUIS FELIPE NAVARRO VERGARA;Customer;je.gomez@gmail.com;m246-;
MARIA CAMILA GALEANO ARENAS;Customer;ed.guina@gmail.com;Q222%;
MIGUEL ANGEL MONROY MARTIN;Store Administrator;he.martinez@gmail.com;12345;
JAIDER DANIEL PINILLA AMAYA;Customer;jo.molina@gmail.com;F688%;
BRANDON FARID BARRETO LOPEZ;Customer;jo.molina@gmail.com;~281,;
JUAN FELIPE GONZALEZ MOSQUERA;Customer;ma.perez@gmail.com;o851!;
